time,input,output
-5,1.3797,1.07899
-4.9,1.3797,1.09668
-4.8,1.3797,1.07899
-4.7,1.3797,1.07899
-4.6,1.3797,1.07899
-4.5,1.3797,1.09668
-4.4,1.3797,1.09668
-4.3,1.3797,1.07899
-4.2,1.3797,1.09668
-4.1,1.3797,1.09668
-4,1.3797,1.09668
-3.9,1.3797,1.09668
-3.8,1.3797,1.07899
-3.7,1.3797,1.07899
-3.6,1.3797,1.09668
-3.5,1.3797,1.07899
-3.4,1.3797,1.09668
-3.3,1.3797,1.09668
-3.2,1.3797,1.09668
-3.1,1.3797,1.07899
-3,1.3797,1.07899
-2.9,1.3797,1.09668
-2.8,1.3797,1.07899
-2.7,1.3797,1.09668
-2.6,1.3797,1.09668
-2.5,1.3797,1.07899
-2.4,1.3797,1.07899
-2.3,1.3797,1.09668
-2.2,1.3797,1.09668
-2.1,1.3797,1.09668
-2,1.3797,1.07899
-1.9,1.3797,1.09668
-1.8,1.3797,1.09668
-1.7,1.3797,1.09668
-1.6,1.3797,1.09668
-1.5,1.3797,1.07899
-1.4,1.3797,1.09668
-1.3,1.3797,1.07899
-1.2,1.3797,1.09668
-1.1,1.3797,1.07899
-1,1.3797,1.07899
-0.9,1.3797,1.07899
-0.8,1.3797,1.09668
-0.7,1.3797,1.07899
-0.6,1.3797,1.09668
-0.5,1.3797,1.07899
-0.4,1.3797,1.07899
-0.3,1.3797,1.07899
-0.2,1.3797,1.07899
-0.1,1.3797,1.09668
0,1.3797,1.09668
0.1,1.3797,1.07899
0.2,1.3797,1.07899
0.3,1.3797,1.09668
0.4,1.3797,1.07899
0.5,1.3797,1.09668
0.6,1.3797,1.09668
0.7,1.3797,1.07899
0.8,1.3797,1.09668
0.9,1.3797,1.09668
1,1.3797,1.07899
1.1,1.3797,1.07899
1.2,1.3797,1.09668
1.3,1.3797,1.09668
1.4,1.3797,1.09668
1.5,1.3797,1.09668
1.6,1.3797,1.07899
1.7,1.3797,1.09668
1.8,1.3797,1.09668
1.9,1.3797,1.09668
2,1.3797,1.09668
2.1,1.3797,1.09668
2.2,1.3797,1.09668
2.3,1.3797,1.07899
2.4,1.3797,1.09668
2.5,1.3797,1.07899
2.6,1.3797,1.09668
2.7,1.3797,1.09668
2.8,1.3797,1.07899
2.9,1.3797,1.09668
3,1.3797,1.09668
3.1,1.3797,1.07899
3.2,1.3797,1.09668
3.3,1.3797,1.09668
3.4,1.3797,1.07899
3.5,1.3797,1.09668
3.6,1.3797,1.07899
3.7,1.3797,1.09668
3.8,1.3797,1.09668
3.9,1.3797,1.09668
4,1.3797,1.09668
4.1,1.3797,1.07899
4.2,1.3797,1.07899
4.3,1.3797,1.09668
4.4,1.3797,1.07899
4.5,1.3797,1.09668
4.6,1.3797,1.09668
4.7,1.3797,1.09668
4.8,1.3797,1.09668
4.9,1.3797,1.09668
